SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAYS,MEAN_DAYS,NB_INVOICES
2360_GE,2020-02-01,2020-02-29,2623.0,"341,03",28,93.67857142857143,20
2360_GE,2020-03-01,2020-03-31,2776.0,"362,25",30,92.53333333333333,20
2360_GE,2020-04-01,2020-04-30,2811.0,"366,46",29,96.93103448275862,20
2360_GE,2020-05-01,2020-05-31,2936.0,"381,51",30,97.86666666666666,20
2360_GE,2020-06-01,2020-06-30,2906.0,"377,89",29,100.20689655172414,20
2360_GE,2020-07-01,2020-07-31,3058.0,"396,19",30,101.93333333333334,20
2360_GE,2020-08-01,2020-08-31,3120.0,"403,65",30,104.0,20
2360_GE,2020-09-01,2020-09-30,3017.0,"391,26",29,104.03448275862068,20
2360_GE,2020-10-01,2020-10-31,3058.0,"396,19",30,101.93333333333334,20
2360_GE,2020-11-01,2020-11-30,2913.0,"378,74",29,100.44827586206897,20
2362_GE,2018-01-01,2018-01-31,2195.0,"286,32",30,73.16666666666667,35
2362_GE,2018-02-01,2018-02-28,1999.0,"261,49",27,74.03703703703704,35
2362_GE,2018-03-01,2018-03-31,2203.0,"288,05",30,73.43333333333334,35
2362_GE,2018-04-01,2018-04-30,2174.0,"284,89",29,74.96551724137932,35
2362_GE,2018-05-01,2018-05-31,2306.0,"301,54",30,76.86666666666666,35
2362_GE,2018-06-01,2018-06-30,2306.0,"301,40",29,79.51724137931035,35
2362_GE,2018-07-01,2018-07-31,2759.0,"358,62",30,91.96666666666667,35
2362_GE,2018-08-01,2018-08-31,2781.0,"361,69",30,92.7,35
2362_GE,2018-09-01,2018-09-30,2647.0,"346,44",29,91.27586206896552,35
2362_GE,2018-10-01,2018-10-31,2708.0,"353,93",30,90.26666666666667,35
2362_GE,2018-11-01,2018-11-30,2609.0,"341,31",29,89.96551724137932,35
2362_GE,2018-12-01,2018-12-31,2827.0,"368,59",30,94.23333333333333,35
2362_GE,2019-01-01,2019-01-31,2829.0,"352,08",30,94.3,35
2362_GE,2019-02-01,2019-02-28,2475.0,"309,62",27,91.66666666666667,35
2362_GE,2019-03-01,2019-03-31,2713.0,"338,57",30,90.43333333333334,35
2362_GE,2019-04-01,2019-04-30,2505.0,"313,08",29,86.37931034482759,35
2362_GE,2019-05-01,2019-05-31,2600.0,"323,20",30,86.66666666666667,35
2362_GE,2019-06-01,2019-06-30,2770.0,"344,85",29,95.51724137931035,35
2362_GE,2019-07-01,2019-07-31,2861.0,"355,89",30,95.36666666666666,35
2362_GE,2019-08-01,2019-08-31,2826.0,"352,13",30,94.2,35
2362_GE,2019-09-01,2019-09-30,2714.0,"338,31",29,93.58620689655173,35
2362_GE,2019-10-01,2019-10-31,2805.0,"349,08",30,93.5,35
2362_GE,2019-11-01,2019-11-30,2680.0,"334,16",29,92.41379310344827,35
2362_GE,2019-12-01,2019-12-31,2735.0,"340,42",30,91.16666666666667,35
2362_GE,2020-01-01,2020-01-31,2743.0,"392,84",30,91.43333333333334,35
2362_GE,2020-02-01,2020-02-29,2535.0,"365,54",28,90.53571428571429,35
